이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA,PER
양현종,2.14,0,-1,2,0,3,-3,0,0,0.1,-32,-38,-41,-34,-1,1,-15,-10,-1,0,11,0,-4,-1.86,-1.75,-0.24,59.4,42.4,2.14,4.87,0
린드블럼,0.05,4,0,0,4,5,-1,0,0,26,1,0,92,23,-11,1,-3,-9,0,-2,32,0,-3,-0.38,-1.15,-0.07,-11,16.3,0.05,2.38,
김광현,1.13,6,0,0,5,6,-2,0,0,54.1,16,8,232,73,1,-2,-3,8,1,0,50,0,5,-0.47,-1.15,0.1,-6.7,14.8,1.13,1.37,
산체스,4.05,-1,0,0,2,9,-3,0,-1,19.9,-39,-31,39,-10,-3,-1,-24,3,-1,-5,24,2,-1,-2.27,-2.81,-0.21,55,65,4.05,4.98,
레일리,1.13,0,0,0,0,-6,1,0,0,2.9,-18,-16,16,11,-2,0,-14,11,0,-10,-38,-1,6,-0.86,-1.01,0.1,-1.8,1.8,1.13,2.14,
켈리,0.09,1,0,0,1,2,5,0,0,22,-8,-21,73,12,5,0,-11,-6,-1,3,-35,-2,7,-1.54,-0.94,-0.12,32.8,-1.7,0.09,2.84,50
고우석,3.9,8,0,0,0,5,-3,34,-2,3,-38,-32,-28,-22,-5,-1,-6,-8,4,-1,32,-1,0,-4.37,-3.12,-0.49,180.8,47.7,3.9,5.78,254.8
정우람,1.81,2,0,0,0,-1,0,-9,0,5.1,-11,-10,17,8,-1,0,-2,4,3,-1,-8,1,1,-1.86,-0.61,0.1,112.5,-11.1,1.81,1.14,-33.3
박진우,3.13,30,0,0,17,8,7,0,4,121,45,41,510,119,16,0,7,24,-1,17,77,0,2,-0.52,-0.6,0.01,-7.4,-8.7,3.13,2.41,300
브리검,-2.09,-3,-2,-1,-2,2,-2,0,-1,-40.9,-27,-33,-160,-40,4,-1,-14,-4,0,-7,-45,1,3,-0.88,-1.09,0.03,5.9,9.5,-2.09,1.01,0
유희관,4.08,-1,2,0,-1,1,-2,0,0,25.1,-41,-45,42,-26,-4,-1,-15,0,3,-1,-17,0,1,-3.45,-1.76,-0.42,51.1,15.8,4.08,4.43,34.3
윌슨,-2.91,4,0,-1,4,5,3,0,0,15,14,2,74,13,4,-1,-4,8,0,5,-12,-1,-4,-0.15,-0.36,0.02,-23.7,-14,-2.91,-0.84,37.5
최원태,-0.56,4,-1,0,4,-2,-2,0,0,23,6,0,89,21,0,2,-3,1,0,-6,4,0,2,-0.57,-0.87,-0.05,-7.8,2.6,-0.56,-0.17,37
이영하,1.71,-11,1,0,10,7,1,0,-2,40.9,-5,-6,137,8,0,0,-10,7,0,1,0,2,-3,-1.64,-1.48,-0.3,17.2,11.3,1.71,4.38,170
문승원,0.48,-5,0,0,-4,3,-2,-1,1,-6.2,-23,-15,-70,-50,-20,3,-1,-4,1,-1,-23,0,-4,-0.72,-0.27,-0.31,-4.5,-14.4,0.48,2.21,42.8
문경찬,1.92,22,0,0,0,1,-1,24,0,-0.1,-20,-21,-23,-17,-4,1,-8,-7,-1,-2,4,-1,-3,-3.41,-2.89,-0.43,211.5,70.6,1.92,1.42,109.09
구창모,1.04,-13,0,0,-4,5,-4,0,0,-26,-43,-41,-149,-73,-16,0,-11,-10,0,-2,-2,-1,-9,-2.15,-1.66,-0.39,34.7,15.4,1.04,2.16,44
서진용,2.52,24,0,0,0,0,-1,3,21,18,-17,-16,54,1,1,0,-12,5,1,0,18,0,-3,-3.74,-3.77,-0.31,92.7,74.5,2.52,2.88,122.2
후랭코프,-1.53,-6,0,0,-6,-9,5,0,0,-32,-16,-15,-126,-8,3,1,-7,-25,0,-9,-23,1,-13,-0.13,-1.47,0.03,-21.4,20.4,-1.53,-0.7,
배제성,2.21,25,1,1,21,10,10,0,0,127.2,57,55,547,129,16,3,6,55,0,3,89,0,10,3.76,0.38,0.43,-35.4,104.39,2.21,,255
박준표,2.04,48,0,0,0,5,2,0,15,54,15,13,202,42,5,1,4,4,1,4,28,0,1,2.09,-1.09,-0.14,93.9,111.66,2.04,,69.23
박종훈,-1.28,-2,0,0,-2,-6,3,0,0,-15.1,-9,-12,-59,-1,-2,-3,-4,5,0,-7,-33,0,-2,-0.3,-0.26,0.17,-16,-15.5,-1.28,1.11,-9.4
