이름,PER,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR_1,WPA
양현종,,-4.85,2,-2,-2,2,-5,2,0,0,-12.1,43,43,15,15,8,3,7,31,0,3,-14,0,6,2.41,1.38,0.35,-81.7,-40.3,-4.85,-4.79
루친스키,,0.89,0,-2,0,0,10,-4,0,0,5.9,-1,2,39,9,-8,2,1,12,0,0,48,0,4,0,-0.12,0.08,21.2,19,0.89,0.53
채드벨,,-4.27,-13,0,0,-13,-9,-2,0,0,-100.1,-19,-18,-403,-84,-22,-2,-4,-28,1,-5,-73,-1,-5,2.46,1.03,0.25,-38.7,-7.9,-4.27,-2.54
요키시,,1.27,-3,-1,-1,-3,-1,-2,0,0,-21.9,-19,-25,-106,-22,-7,-2,-3,-14,0,-5,-26,1,-3,-0.99,-0.13,-0.07,86.9,22.9,1.27,2.11
서폴드,,-2.85,-3,1,1,-3,-2,2,0,0,-27.1,23,15,-76,12,2,-1,11,-12,-1,5,-38,0,2,1.4,1.39,0.22,-21.3,-21.3,-2.85,-3.23
고우석,-18.2,-3.38,-25,0,0,0,-8,2,-18,0,-29.8,9,7,-105,-10,2,-1,-2,-11,-3,-2,-25,0,3,2.58,-0.09,0.25,-156.1,21.4,-3.38,-3.4
켈리,,0.27,-1,1,1,-1,1,-5,0,0,-7,-3,13,-42,-4,-4,-2,9,-1,0,-5,8,0,-8,0.77,0.63,0.01,-21.5,-6,0.27,-0.75
박진우,,-3.75,2,0,0,-17,-7,-5,0,2,-97.2,-24,-24,-396,-90,-11,0,-7,-16,1,-13,-70,0,-2,2.09,0.44,0.22,-41.7,2.4,-3.75,-2.84
정우람,0,-2.6,-7,0,0,0,-1,2,-10,0,-4,18,19,-7,1,3,1,0,-4,-3,4,5,-1,0,3.26,0.13,0.04,-169.7,13.1,-2.6,-1.57
브리검,,-1.31,-7,0,0,-7,-4,0,0,0,-51.1,-17,-9,-213,-50,-25,0,1,-4,1,-7,-25,-1,1,0.66,0.34,0.08,-10,2.3,-1.31,-0.13
쿠에바스,,-0.97,-3,0,0,-3,-3,-2,0,0,-26,0,-2,-92,-1,5,-5,-2,-17,0,-3,-25,0,0,0.48,0.09,0.08,1.8,12,-0.97,-1.51
유희관,,-3.38,-1,-2,0,0,-1,3,0,0,-30,24,16,-70,19,0,3,6,-3,1,0,-8,0,-1,1.77,0.89,0.4,-33.7,-8,-3.38,-4.04
윌슨,,-2.31,-5,-1,0,-5,-4,1,0,0,-40.8,4,11,-135,-10,-4,0,6,-4,-1,-3,-28,1,-3,1.5,0.92,0.22,-35.3,-15.2,-2.31,-2.55
하재훈,,-3.71,-46,0,0,0,-4,-2,-32,-3,-46,0,-2,-179,-28,-8,0,1,-18,-2,-1,-54,-1,1,5.64,3.14,0.84,-150.5,-71.6,-3.71,-5.59
최원태,,-2.49,-6,0,0,-6,-4,1,0,0,-47.1,0,3,-188,-50,-12,-1,11,1,2,2,-38,0,1,1.69,2.11,0.1,-29.9,-40.9,-2.49,-1.24
이영하,-29.6,-1.02,13,-1,0,-8,-12,7,6,0,-31.1,8,2,-87,0,-2,-4,4,5,2,-5,-5,-1,-1,1,0.72,0.34,-12.6,-4.3,-1.02,-5.1
문경찬,,-2.76,2,0,0,0,-1,3,-14,11,-3,26,21,8,6,1,0,9,5,-1,2,-6,0,0,3.71,3.04,0.27,-225.6,-79.2,-2.76,-0.89
문승원,,1.01,-1,1,0,2,-5,1,0,-2,1.2,1,-3,24,6,16,-5,-10,12,-1,3,18,0,2,-0.23,-0.67,0.11,23,27.6,1.01,-0.07
알칸타라,,5.55,4,0,0,4,9,-9,0,0,26,-22,-21,71,-15,-1,0,-3,3,0,1,82,-1,1,-1.47,-0.88,-0.22,78.6,45.8,5.55,3.47
구창모,,1.91,-8,0,0,-5,-1,-7,0,0,-13.9,-20,-20,-101,-27,-3,-2,-3,-24,0,-5,-12,0,-5,-1.46,-0.88,-0.38,149.2,53.8,1.91,1.71
서진용,,-1.55,-9,0,0,0,-1,6,4,-21,-7,14,10,-15,-1,-5,-1,9,6,-3,-1,-20,0,6,1.75,3.04,0.22,-61.2,-71.9,-1.55,-4.44
배제성,50,0.33,-2,-1,-1,5,0,-3,0,0,9.9,9,7,55,-2,12,-2,6,20,0,1,-8,1,1,0.19,1.22,0.03,10.7,-13,0.33,0.91
박준표,45.45,0.47,1,0,0,0,2,-1,6,-4,-4.8,1,-4,-5,-1,-2,-1,-1,2,1,-4,14,0,1,-0.52,-0.78,0.09,105.7,50.7,0.47,-0.59
주권,,0.44,6,0,0,0,0,0,-2,6,-5.1,0,-4,-2,-10,-4,0,-1,18,1,-1,-10,0,-1,-0.29,0.98,0.19,38.1,-7.7,0.44,-2.06
박종훈,,-0.13,1,0,0,0,5,0,0,0,13.1,18,22,48,-11,-8,3,2,19,1,9,34,0,4,0.93,0.3,-0.08,-9,6.7,-0.13,-2.27
백정현,-8.9,-1.93,-17,-1,-1,-16,-4,-6,0,0,-98,-42,-40,-419,-91,-14,-2,-4,-39,0,-5,-36,0,-3,0.95,0.83,0.06,-6.8,-0.3,-1.93,-0.22
우규민,-72,-2.03,-2,0,0,0,1,-4,-8,4,-11,14,15,-37,3,7,1,-4,-1,0,-5,-10,0,0,3.44,-0.67,0.31,-77.8,33.6,-2.03,-0.91
진명호,-40,-1.93,-23,0,0,0,-3,-1,0,-7,-32,1,1,-127,-27,-7,1,-1,-13,-4,1,-19,0,-2,3.77,0.93,0.19,-55.2,-6.4,-1.93,-1.97
전상현,84.21,-0.26,-10,0,0,0,1,-2,15,-2,-13,0,-8,-47,-10,-2,0,1,1,-2,-2,2,0,0,-0.67,0.31,0.11,61,6.9,-0.26,1.4
이재학,,-2.25,-5,0,0,-4,-5,2,0,0,-39,4,11,-150,-28,-3,-1,8,0,0,-4,-30,1,-2,2.73,2.01,0.27,-36.4,-27.6,-2.25,-1.65
조상우,,1.19,5,0,0,0,3,-1,13,-8,7,0,-1,40,5,2,0,0,10,2,0,18,0,0,-0.51,-0.01,0.13,62.7,18.2,1.19,-0.49
장필준,-23.3,-1.43,-30,0,0,2,-3,0,-11,-11,-33.2,-5,-5,-132,-18,-3,-1,-1,-17,-3,-3,-27,0,1,2.13,1,0.33,-33.7,-4.8,-1.43,-1.73
김상수,,-1.6,-7,0,0,0,0,-2,5,-29,-5.1,14,9,-12,2,6,0,0,-7,0,1,-12,0,1,1.87,0.28,0.04,-45.3,5.6,-1.6,-1.15
김재윤,42,0.46,13,0,0,0,3,1,14,-8,13,10,10,79,35,1,2,3,3,1,-1,16,0,-1,0.99,0.32,0.45,-37,7.1,0.46,-1.22
윤명준,-25.7,-1.24,-27,0,0,0,-6,-2,1,-7,-28.1,1,2,-99,-14,-8,1,1,-8,-1,-2,-20,0,-6,2.32,1.04,0.31,-61.7,-13,-1.24,0.06
오주원,,-1.57,-32,0,0,0,0,-2,-18,-1,-36,-5,-3,-145,-32,-5,0,5,-7,0,-3,-28,1,-1,3.08,3.71,0.08,-91.2,-84.1,-1.57,-1.57
최성영,,-1.61,-12,0,0,-2,-2,3,0,-2,-21.9,6,5,-90,-12,-1,-3,10,-13,0,-1,-35,0,-1,2.14,3.06,0.14,-27.3,-32.6,-1.61,-2.08
차우찬,-70,-1.23,-16,0,0,-15,-8,-3,0,0,-104.1,-48,-39,-443,-110,-16,0,-8,-31,1,-3,-73,0,-12,1.22,0.64,0.12,-12.8,-1.3,-1.23,-0.2
김성민,,-1.49,-25,0,0,0,-1,0,0,-5,-32.9,2,1,-118,-25,-7,-1,3,1,2,1,-17,0,-3,3.9,2.33,0.55,-89,-60.9,-1.49,-1.8
이용찬,,-1.87,-21,0,0,-21,-6,-7,0,0,-121.9,-50,-42,-526,-127,-20,-2,-8,-39,-3,-6,-87,0,-2,4.37,2.21,0.32,-45.8,-24.7,-1.87,-0.83
최원준,171.2,1.76,8,0,0,15,9,0,-1,-4,68.9,35,36,304,82,11,2,14,19,-1,3,56,1,1,1.15,1.35,0.12,-32.6,-26.5,1.76,1.03
박민호,,1.02,10,0,0,0,-1,0,4,7,1.9,-1,-1,6,-6,-1,0,2,5,0,-2,14,0,0,-0.26,0.26,-0.06,41.1,8.1,1.02,-0.33
고영창,,-1.11,-7,0,0,0,0,-2,0,-8,4,24,23,32,25,11,-3,1,3,0,-3,1,2,4,3.33,0.29,0.38,-50,6.8,-1.11,0.3
이형범,-36.6,-1.61,-40,0,0,0,-5,-1,-18,-9,-35.8,-3,4,-136,-27,0,0,1,-3,0,-7,-18,0,-1,5.05,2.43,0.54,-93.9,-24.6,-1.61,-3.41
양현,,0.52,29,0,0,-2,7,3,2,10,19.8,13,13,86,27,4,0,3,6,0,2,8,0,1,1.31,0.94,0.22,-65.2,-14.5,0.52,-0.72
장시환,40,0.22,-1,0,0,-1,-2,1,0,0,7.1,3,5,33,-8,-2,0,3,16,-1,6,6,0,-7,0.07,0.83,-0.03,9.9,-3.9,0.22,-1.01
안영명,,-0.92,-28,0,0,0,-3,-6,0,-12,-16.8,5,3,-72,-31,-6,0,4,5,1,-1,-14,-1,-2,1.99,2.2,-0.02,-25.4,-31.5,-0.92,1.08
정영일,,-1.43,-15,0,0,0,1,0,1,-6,-18.9,5,2,-61,-1,2,-1,5,-11,-1,2,-18,1,1,3.35,3.56,0.51,-58.4,-49.6,-1.43,-0.89
이승현,50,0.43,31,0,0,0,-1,1,0,6,17.1,11,13,79,17,4,1,9,14,1,-1,21,0,0,1.53,2.2,0.24,-80.4,-36.3,0.43,-0.11
라이블리,,1.62,12,-1,-1,12,2,3,0,0,55,28,28,242,47,7,-3,7,26,0,7,37,0,2,0.31,1.27,0.1,6.4,-23.6,1.62,-0.44
박시영,,-1.42,-7,0,0,-6,0,0,0,-3,-31.1,-3,-2,-117,-19,-3,-1,0,-4,0,-3,-39,0,-6,3.78,2.67,0.54,-38.4,-32.3,-1.42,-1.9
김대현,-33.3,-1.29,-8,0,0,-2,-1,-4,0,-6,-34.1,-7,-7,-127,-26,-4,1,4,-4,0,-3,-12,0,0,2.07,2.43,0.51,-29,-32.8,-1.29,-1.95
김태훈,,-0.18,-18,0,0,2,3,-5,-7,-17,-5.2,1,-1,-15,8,6,1,-3,-4,1,1,-36,0,-4,0.22,0.47,0.18,5.3,-3.9,-0.18,-0.72
김태훈,,-1.47,-38,0,0,8,-3,1,-7,-23,-7.2,19,20,-15,-1,5,0,4,13,0,0,-33,0,3,3.4,2.67,0.35,-40.7,-48.7,-1.47,-2.2
최지광,50,-0.19,-12,0,0,0,-2,-5,-2,5,-23.9,-9,-7,-104,-30,-4,-3,-2,-9,1,-2,-15,0,2,0.77,-0.12,-0.06,-4,17.6,-0.19,0.17
박세웅,50,1.03,16,0,0,16,5,4,0,0,87.1,52,49,395,111,15,-1,17,24,0,8,64,0,9,0.5,1.23,0.04,3.6,-15.3,1.03,-1.32
전유수,5,-0.41,-15,0,0,-1,2,3,1,-4,-20.9,-5,1,-80,-20,-9,0,1,3,1,-1,-19,0,-5,1.73,1.26,0.2,-29.2,-22.6,-0.41,1.62
박희수,,-0.67,-6,0,0,0,0,0,-1,-2,-4,8,11,-12,-1,4,0,3,-3,1,-3,12,0,2,4.21,0.1,0.07,-249.6,13,-0.67,-0.49
김건국,10,-0.23,-5,0,0,-5,0,-1,0,-2,-35,-20,-19,-154,-43,-3,1,-3,-18,0,-3,-12,0,1,-0.48,-1.01,-0.27,28.1,43.3,-0.23,0.05
원태인,62.5,0.71,1,0,0,6,2,2,0,-2,28,19,16,133,43,6,-2,7,17,2,0,10,-2,0,0.07,0.71,0.15,11.4,-0.1,0.71,0.36
진해수,0,-0.29,3,0,0,0,1,1,0,2,7,10,8,42,10,3,-3,1,7,2,2,21,0,5,0.97,-0.02,0.14,-15.1,16,-0.29,-0.35
한현희,,0.2,-36,0,0,25,0,4,0,-24,77.2,51,53,336,91,10,0,9,17,1,7,60,1,1,1.57,0.71,0.1,-26.7,-10,0.2,0.83
함덕주,-22,0.5,-25,0,0,6,3,-4,-6,-5,0.9,1,3,4,16,0,-1,-4,-13,-2,-1,7,0,5,0.44,-1.7,0.03,0.4,67.5,0.5,-1.53
윤성환,,-0.96,-22,0,-1,-22,-8,-11,0,0,-126.9,-73,-65,-559,-149,-30,-1,-14,-39,0,-4,-61,0,-3,1.02,0.44,0.11,-5.4,3,-0.96,0.66
박상원,,-0.07,1,0,0,0,0,-4,1,-2,-1,6,4,0,10,8,1,3,-8,3,-1,13,1,1,0.69,-0.22,0.05,-2.4,17.4,-0.07,-0.79
박진형,33,-0.42,12,0,0,0,-1,3,-5,12,2.1,8,9,25,16,12,2,1,2,-1,4,10,0,-2,1.68,0.45,0.36,-19.1,3.4,-0.42,-0.16
이승호,,0.33,1,-1,-1,0,-2,1,0,0,-4,1,6,-16,-2,-7,-2,5,-11,0,4,-9,-2,-2,0.6,0.71,-0.06,0,-2.7,0.33,1.05
이영준,,-0.08,23,0,0,0,1,2,0,24,6.9,10,10,40,2,-4,-2,5,14,0,2,13,1,3,1.76,2.45,0.18,-39.7,-64,-0.08,0.01
임현준,-9.1,0.32,-20,0,0,0,0,1,0,-3,-17,-12,-11,-68,-10,-6,-1,0,-5,1,3,-17,0,1,-1.62,1.15,0.13,151,-17.2,0.32,-0.03
고효준,,-0.57,-51,0,0,0,-1,-7,0,-15,-46.9,-24,-23,-203,-44,-10,-1,-3,-25,-6,0,-61,0,-10,0.98,3.39,0.09,-3.4,-40.5,-0.57,0.91
김대유,,-0.91,-18,0,0,0,0,0,0,0,-24.9,-1,-1,-97,-16,-5,0,-1,-11,-1,-3,-22,0,0,20.81,1.42,1.35,-158.6,-18.2,-0.91,-0.25
이대은,-50,-0.93,-24,0,0,-4,-4,2,-16,0,-56.9,-25,-21,-249,-53,-11,-1,-6,-26,2,-1,-44,0,3,1.64,0.76,0.18,-17.2,0,-0.93,-3.69
정우영,125,1.97,9,0,0,0,0,-2,4,4,9.9,-4,-1,32,-9,-4,-2,1,9,-2,3,21,-1,-2,-0.6,0.29,-0.15,38.3,5.8,1.97,1.51
서준원,84.8,-0.1,-2,0,0,4,3,-5,0,0,10.2,10,3,37,13,-7,-1,6,-7,1,-6,0,-1,2,-0.29,0.33,-0.1,17.2,6.6,-0.1,-0.29
김태훈,,0.23,20,0,0,-3,-1,-3,0,8,-6,-2,-5,-19,-7,-1,1,-4,-1,1,5,-10,0,0,-0.28,-0.16,0.01,19.4,21.3,0.23,-0.05
김태훈,,-1.06,0,0,0,3,-7,3,0,2,-8,16,16,-19,-16,-2,0,3,16,0,4,-7,0,7,2.9,2.04,0.18,-26.6,-23.5,-1.06,-1.53
배재환,,0.21,-9,0,0,0,-2,-2,0,-8,-11.1,-4,-3,-38,-11,-2,2,1,4,1,2,-28,1,3,0.34,2.23,0.23,6.7,-30.4,0.21,-1.22
김민,,-1.02,-3,0,0,-20,-3,-9,0,1,-108,-53,-52,-467,-129,-22,-4,-10,-36,0,1,-59,-2,1,1.58,1.32,0.17,-10.7,-7.7,-1.02,0.74
백승건,,-1.16,-5,0,0,7,0,5,0,0,10,24,21,75,21,1,0,6,19,0,1,14,0,0,5.65,3.48,0.87,-121.8,-30.8,-1.16,-0.99
김진영,147,0.75,52,0,0,-5,3,-1,0,8,27.8,14,8,114,21,-2,0,5,6,0,2,42,0,5,-0.72,-0.43,-0.31,40.1,22.8,0.75,-0.23
김민수,8,-1.2,5,0,0,7,-5,3,-2,-1,21.9,34,25,128,64,10,-2,4,0,-2,2,7,0,2,1.14,0.35,0.32,-5.4,6.1,-1.2,-2.95
김이환,10,-0.65,6,0,0,7,-2,4,0,0,26.2,31,31,141,33,4,0,7,23,0,2,26,0,3,2.56,1.21,0.18,-27.6,-6,-0.65,-1.23
강윤구,-33,-0.54,-37,0,0,0,-2,-2,0,-12,-35.1,-13,-12,-139,-24,3,-4,-1,-13,-2,-4,-34,0,0,2.39,1.59,0.6,-23.4,-19.3,-0.54,-1.1
차명진,,-0.62,-8,0,0,-6,-3,-1,0,0,-32.9,-12,-11,-145,-32,-9,0,-1,-18,0,0,-19,0,-3,130.64,17.1,7.39,-93.1,-71.7,-0.62,-0.26
원종현,,0.62,-2,0,0,0,0,2,-1,0,-3,-1,0,-11,-6,-4,-1,0,3,-1,-1,-18,0,-1,0.21,0.93,0.01,10.1,-15.6,0.62,-0.14
신재웅,,-0.65,4,0,0,-1,1,0,0,0,-2.1,12,12,5,12,-1,2,4,4,0,-1,-3,0,0,5.99,3.72,0.96,-75.8,-38.3,-0.65,-0.37
김선기,,0.24,18,0,0,-6,-3,-1,0,3,-6,-5,-8,-30,-10,-2,0,-1,-1,0,0,-6,0,2,-2.13,0.27,-0.15,130.5,7.2,0.24,0.14
신재영,,-0.67,-5,0,0,-6,-1,0,0,0,-24.1,-6,-5,-98,-21,-10,-1,1,-5,0,-4,-20,0,-1,8.92,7.02,1.93,-75,-68.1,-0.67,-0.76
박치국,100,1.06,2,0,0,0,2,2,-3,-8,19.2,8,-3,88,1,-2,1,0,20,2,0,31,0,-2,-1.61,-0.2,-0.12,69.4,18.9,1.06,0.8
문광은,,-0.42,-28,0,0,0,-1,-1,-1,-3,-29,-10,-10,-120,-28,-2,0,-2,-11,0,-1,-22,0,-1,7.16,2.03,0.79,-58.8,-23.2,-0.42,-0.92
